node_id,state,tilt,displacement,crack_width,vibration,load_change,temperature,humidity,battery,rate_tilt_5m,rate_disp_5m,rate_crack_5m,risk_score,risk_level
N1,NORMAL,1.16,1.59,0.75,0.17,2.14,27.9,82.4,68.1,0.001,0.003,0.014,10.6,LOW
N1,SUBSIDENCE,5.8,26.67,21.56,2.876,105.21,36.3,91.0,80.8,1.739,1.57,0.639,100.0,CRITICAL
N3,WARNING,3.48,2.56,1.9,0.535,19.08,33.0,91.8,95.4,0.079,0.357,0.026,37.9,MEDIUM
N5,NORMAL,0.87,1.27,0.51,0.042,0.39,31.5,86.8,64.9,0.009,0.082,0.018,8.2,LOW
N5,NORMAL,0.77,1.82,0.45,0.059,4.14,37.9,70.8,63.5,0.037,0.09,0.016,9.7,LOW
N3,NORMAL,0.47,0.5,0.52,0.121,2.05,28.9,86.6,90.7,0.013,0.091,0.0,6.7,LOW
N4,NORMAL,0.56,0.24,0.62,0.03,-1.25,30.8,94.4,98.6,0.033,0.031,0.007,5.2,LOW
N1,SUBSIDENCE,7.04,17.82,9.45,1.677,74.92,28.5,79.5,73.6,1.21,2.608,0.76,100.0,CRITICAL
N1,WARNING,2.45,6.21,2.9,0.444,21.68,27.5,85.1,89.9,0.121,0.117,0.164,42.1,MEDIUM
N3,WARNING,3.31,7.77,1.03,0.745,25.49,26.0,90.1,60.6,0.211,0.111,0.218,50.1,HIGH
N3,NORMAL,0.81,1.2,0.2,0.037,1.08,35.6,85.4,62.6,0.006,0.049,0.013,7.6,LOW
N4,SUBSIDENCE,6.11,18.66,20.47,3.744,62.76,37.5,90.4,79.2,0.407,4.108,1.36,100.0,CRITICAL
N6,WARNING,1.61,5.13,2.48,0.459,21.16,25.8,78.7,92.4,0.114,0.356,0.12,39.7,MEDIUM
N5,NORMAL,1.01,1.15,0.52,0.025,2.72,30.5,65.6,69.1,0.02,0.045,0.017,8.3,LOW
N2,NORMAL,0.62,1.18,0.86,0.107,2.83,29.8,81.2,70.0,0.023,0.044,0.009,8.2,LOW
N6,NORMAL,1.08,0.97,0.15,0.035,-1.91,31.3,85.4,63.4,0.021,0.019,0.0,3.5,LOW
N5,NORMAL,0.61,1.91,0.99,0.127,-0.29,35.9,77.8,98.5,0.036,0.06,0.004,10.9,LOW
N1,NORMAL,0.9,1.68,0.73,0.096,1.54,36.5,94.3,88.0,0.043,0.068,0.018,10.4,LOW
N6,NORMAL,0.65,0.58,0.71,0.067,-0.02,32.8,79.2,86.9,0.012,0.088,0.017,7.3,LOW
N3,NORMAL,0.77,1.16,0.38,0.081,2.12,25.2,75.4,76.8,0.032,0.045,0.019,9.6,LOW
N4,WARNING,1.24,4.51,1.82,0.468,15.09,34.5,68.0,93.6,0.232,0.457,0.05,33.5,MEDIUM
N5,NORMAL,1.12,0.94,0.93,0.147,4.46,26.6,71.4,70.8,0.033,0.024,0.018,7.4,LOW
N4,NORMAL,0.43,1.38,0.71,0.168,-1.38,29.0,89.4,84.5,0.048,0.092,0.001,9.6,LOW
N5,NORMAL,0.96,1.85,0.5,0.027,2.09,32.2,94.9,78.2,0.002,0.06,0.016,11.2,LOW
N6,NORMAL,0.92,1.73,0.99,0.134,-0.85,33.2,91.5,83.1,0.048,0.067,0.001,10.9,LOW
N1,WARNING,2.01,7.02,3.35,0.49,9.63,27.9,76.0,63.1,0.113,0.617,0.205,45.5,MEDIUM
N2,NORMAL,0.88,0.21,0.05,0.021,2.52,26.7,76.7,97.6,0.021,0.03,0.018,4.5,LOW
N4,NORMAL,0.57,1.48,0.08,0.146,0.96,35.0,94.2,62.4,0.04,0.025,0.008,8.4,LOW
N4,NORMAL,0.99,0.89,0.55,0.066,2.29,26.1,92.5,99.9,0.018,0.033,0.001,6.5,LOW
N2,NORMAL,0.96,0.86,0.4,0.138,4.78,36.2,71.8,60.3,0.023,0.083,0.02,12.2,LOW
N4,WARNING,2.33,5.42,1.6,0.342,27.95,33.1,88.1,66.3,0.168,0.322,0.163,41.6,MEDIUM
N4,NORMAL,0.92,1.58,0.06,0.144,0.68,28.7,89.2,65.0,0.017,0.045,0.007,8.2,LOW
N5,NORMAL,1.17,1.48,0.18,0.041,2.14,35.1,66.5,94.2,0.032,0.005,0.005,7.5,LOW
N5,SUBSIDENCE,9.09,24.07,10.24,0.816,96.89,28.9,79.9,92.4,0.514,1.945,0.961,100.0,CRITICAL
N2,SUBSIDENCE,7.5,43.11,19.26,1.899,65.0,39.1,83.3,76.0,0.935,3.117,0.608,100.0,CRITICAL
N1,WARNING,2.68,4.67,3.45,0.504,6.26,37.3,67.2,71.8,0.094,0.705,0.149,45.4,MEDIUM
N6,NORMAL,0.31,1.47,0.38,0.045,2.5,34.4,71.2,71.7,0.027,0.027,0.01,7.8,LOW
N6,NORMAL,0.48,1.92,0.85,0.08,0.08,37.9,84.8,89.3,0.044,0.1,0.013,11.6,LOW
N4,WARNING,2.09,4.88,1.43,0.649,32.93,27.7,72.7,84.5,0.206,0.341,0.055,44.6,MEDIUM
N1,NORMAL,1.14,0.31,0.0,0.116,-0.01,27.8,69.3,83.3,0.044,0.033,0.006,7.4,LOW
N2,NORMAL,0.29,1.18,0.46,0.023,-1.88,26.5,68.1,62.1,0.026,0.07,0.019,5.1,LOW
N2,NORMAL,0.58,1.63,0.84,0.129,-0.54,31.0,93.8,89.4,0.023,0.091,0.007,9.1,LOW
